mean EN difference,geom-mean_eta_both,MagpieData mean Electronegativity,max ionic char,MagpieData avg_dev MendeleevNumber,MagpieData minimum Electronegativity,MagpieData range MeltingT,MagpieData mean Row,MagpieData avg_dev NpValence,MagpieData mean GSbandgap,std_dev EN difference
0.39216822,0.4092868,0.72290003,0.80657613,0.6839099,0.4520446,0.9367521,0.6202868,0.547202,0.5749928,0.818213
0.39559492,0.39058328,0.71917236,0.44833973,0.3346034,0.61663973,0.34687364,0.5632673,0.7379266,0.26448658,0.018354641
0.19255376,0.40640372,0.70100594,0.38393918,0.19785918,0.51410913,0.57361126,0.4117307,0.58487463,0.54958427,0.33164534
0.026499726,0.59562457,0.6847217,-0.08016133,0.28824326,0.995579,0.9122464,0.5797281,0.6692798,0.8720675,0.02221382
0.123214,0.3948819,0.6304703,0.105017275,0.3325861,0.97609586,0.5767045,0.4785754,0.87440276,0.76788276,-0.03339642
0.08145175,0.3359092,0.6885631,0.17446265,0.28102097,0.91727704,0.9365853,0.59303236,0.68438154,0.803069,0.097654834
0.30196983,0.35755938,0.7236194,0.645204,0.41287202,0.615561,0.9684004,0.58904827,0.5454241,0.52243567,0.7051536
0.044807497,0.67126983,0.6553682,-0.052133057,0.30385324,0.9957975,0.9529113,0.53318727,0.5857235,0.7907372,0.08105087
0.21690594,0.31622744,0.75802726,0.36770478,0.28611735,0.76994526,0.68098134,0.5653188,0.6471362,0.29173765,0.04734384
0.09716752,0.3566684,0.80863214,0.24813533,0.03663971,0.95226574,0.9912641,0.4783849,0.2969088,0.5248509,0.0927645
0.090543576,0.37580875,0.7676274,0.19541198,0.08821478,0.95454454,0.9832556,0.5052197,0.3695826,0.49359354,0.12559812
0.29216826,0.30292886,0.74526834,0.4235519,0.36573753,0.89696854,0.6093384,0.52346087,0.95071363,0.85493326,0.07335584
0.50982934,0.4805176,0.7744791,0.90464556,0.58980906,0.499392,0.9973941,0.6706568,0.6298944,0.37278542,0.81296784
0.20799226,0.32248238,0.82818663,0.4702133,0.10829725,0.83400595,0.95337003,0.5637742,0.50049645,0.3850589,0.22246696
0.095988,0.37070602,0.6289352,0.13688794,0.30337825,0.96446526,0.45076436,0.69730055,0.930659,0.35103148,0.08680408
0.31388888,0.33062166,0.6966268,0.5978366,0.30568725,0.5580576,0.9935629,0.53023213,0.5011557,0.49698374,0.36178425
0.22114918,0.44638684,0.66108674,0.24099228,0.3224168,0.9946013,0.7013798,0.50366354,0.9271351,0.9392487,0.014116892
0.5408405,0.50993824,0.7251624,0.9324166,0.71332324,0.45096746,0.9893969,0.6286094,0.6748021,0.45433936,0.8881975
0.31354737,0.51555574,0.6672927,0.75965,0.35717613,0.36374325,0.64119524,0.3781494,0.61060977,0.43498087,0.5869211
0.3419764,0.42066646,0.6752833,0.72567946,0.43655616,0.45670292,0.9772719,0.5384664,0.56516224,0.520049,0.591621
0.25828728,0.25312883,0.79276246,0.18459198,0.29132858,0.8926123,0.5827677,0.7947134,0.70354307,0.17052765,0.03771584
0.5590315,0.5162792,0.7166989,0.6500399,0.53406376,0.50790846,0.44276586,0.76462895,0.8952041,0.14476982,-0.042769946
0.66352993,0.51742494,0.744342,0.842291,0.79027355,0.5083307,0.46463323,0.67101,0.9438475,0.3688118,0.052426916
0.08285997,0.36266154,0.7163425,0.17061237,0.16195531,0.88482,0.9877435,0.49089977,0.44609493,0.55381095,0.057332303
0.31701016,0.4492335,0.7052704,0.35611793,0.09696991,0.66476357,0.13893175,0.6830115,0.52233565,0.20315352,0.021904042
0.09245375,0.41855595,0.6835007,0.105085135,0.18795787,0.9630456,0.9807956,0.49805936,0.48597232,0.6330201,0.12471304
0.090233736,0.64119595,0.7679766,-0.047124103,0.24321257,0.87713844,0.5407951,0.94855154,0.3937731,0.04867438,0.067399055
0.22567087,0.3430127,0.7353227,0.47818857,0.1737233,0.69960815,0.97967875,0.5209567,0.51175416,0.51017296,0.25680417
0.68248653,0.55643064,0.75139904,0.81969947,0.8041599,0.52236986,0.5345793,0.66900885,0.9372502,0.3927111,0.014293107
0.0716331,0.5956496,0.6244823,-0.05600964,0.283528,0.99702066,0.3304488,0.6776449,0.7983012,0.41768044,0.015788548
0.17503895,0.33547807,0.5677998,0.21296836,0.32693976,0.78396523,0.9803924,0.45904708,0.46724313,0.6612289,0.18362202
0.23642306,0.3618564,0.7142211,0.4989228,0.31466007,0.5807892,0.96823233,0.5210861,0.6048581,0.5536585,0.31928858
0.26293534,0.2761095,0.7041153,0.31693915,0.12138025,0.6892283,0.09095283,0.6433264,0.59966177,0.19860841,0.13909686
0.23822924,0.3477884,0.76703644,0.4857519,0.128555,0.7772824,0.9939942,0.5026486,0.37744197,0.49670896,0.24902648
0.6391388,0.5682554,0.782237,0.7947359,0.81653225,0.548028,0.5845012,0.8410705,0.9739733,0.14054899,-0.08454149
0.03227887,0.32620546,0.8074007,0.3121867,0.47699955,0.72884023,0.49743727,0.713506,0.46580452,0.38516694,0.71799403
0.22921003,0.31815088,0.70539224,0.44610238,0.28865156,0.66422844,0.992967,0.53441846,0.5167513,0.5517442,0.20093879
0.12518086,0.29280484,0.6901324,0.25268462,0.28409973,0.8211324,0.7286144,0.5370792,0.7074067,0.8144678,0.148358
0.35226807,0.36820912,0.67509663,0.71022844,0.42558312,0.46241936,0.9918604,0.55141354,0.554978,0.48777774,0.52637786
0.17803954,0.30992737,0.79979986,0.4208608,0.058431532,0.8678376,0.9939829,0.4752003,0.29776624,0.5214022,0.16936843
0.10966677,0.37453517,0.9138587,0.53720695,0.51129484,0.7981524,0.62912273,0.79822934,0.60325426,0.4942858,0.83175814
0.25081187,0.422329,0.64764214,0.39607775,0.2017084,0.48610795,0.1663778,0.3967578,0.557809,0.4458331,0.28801957
0.6966319,0.46267033,0.8989772,0.7859023,0.51116395,0.9998282,0.7582567,0.5517423,0.9997458,0.41055247,0.045601096
0.1559374,0.33426726,0.7639583,0.32580906,0.11541664,0.8454841,0.9920663,0.4960961,0.3977684,0.5338179,0.10145196
0.121358834,0.40786222,0.64521617,0.10512621,0.23994096,0.94238484,0.98369944,0.5086897,0.52547574,0.6790883,0.1037996
0.18008186,0.4648009,0.73891366,0.40499556,0.18278967,0.711349,0.96006954,0.515234,0.56304693,0.55896235,0.41325682
0.21423012,0.5038732,0.7101059,0.6805239,0.2559832,0.46891367,0.9214653,0.45995292,0.5923035,0.5094228,0.51595247
0.23093839,0.36184525,0.66295147,0.5052847,0.22084619,0.5743988,0.9687494,0.49382353,0.38569847,0.43458158,0.46429086
0.097958975,0.37065437,0.7128311,0.086365715,0.16029666,0.8678357,0.9909472,0.47297236,0.41720974,0.5420749,0.055812377
0.008084106,0.59678125,0.5917975,-0.052019402,0.21762928,0.9945715,0.72400284,0.46130487,0.70728934,0.8414479,-0.028174847
0.20323297,0.3274111,0.7654481,0.46364266,0.11884975,0.8054379,0.99002755,0.50262237,0.41478002,0.5173561,0.21115649
0.046233885,0.3290004,0.62896276,0.069472075,0.26313153,0.956592,0.9347704,0.51748246,0.51947683,0.5174265,0.1012308
0.18540563,0.3949926,0.6653482,0.19427384,0.15670344,0.7828086,0.9109782,0.48990396,0.506544,0.64775276,0.351086
0.3348296,0.33725327,0.725838,0.5647969,0.52826726,0.4554776,0.47671327,0.5944949,0.89952254,0.29842868,0.41985735
0.49430975,0.38820583,0.6635673,0.58168334,0.2859166,0.96716297,0.49937835,0.31775504,0.9934772,0.73640335,0.09769343
0.5683162,0.7653139,0.9330641,0.6266802,0.8545289,0.9512647,0.66287076,0.91280186,0.9995962,0.5598666,0.96090436
0.30102634,0.48388794,0.6981311,0.6816211,0.40224174,0.4467088,0.9434494,0.49901447,0.65742457,0.5550885,0.5686804
0.20098102,0.3492171,0.7169032,0.35444087,0.19608139,0.77572787,0.9957648,0.46224296,0.35198045,0.51292,0.21532495
0.03581044,0.32898113,0.50425255,0.027026255,0.26709569,0.97576183,0.4516678,0.5286899,0.82641405,0.5076458,-0.071359694
0.2274504,0.33499315,0.71244884,0.49268726,0.24267492,0.6548656,0.9859742,0.5202351,0.5284791,0.53662556,0.25797397
0.2997511,0.46879023,0.64301956,0.30523023,0.32672623,0.99941766,0.27785102,0.74950504,0.97021496,0.22079568,0.07498056
0.21305889,0.36537924,0.6558074,0.3455613,0.31968307,0.97878623,0.37597832,0.6567862,0.94031554,0.42041302,-0.056243137
0.28886765,0.34593582,0.77839243,0.6309764,0.07137134,0.71135926,0.9895978,0.48476282,0.40539658,0.44859028,0.38575062
0.2651196,0.43816936,0.8144574,0.20840959,0.5892165,0.7851218,0.6145911,0.85970044,0.9083808,0.28846276,0.4240795
0.41940945,0.53192705,0.74282086,0.8747233,0.4942903,0.4758298,0.9501292,0.5209141,0.6445819,0.5075141,0.7638838
0.2072754,0.35458046,0.72794694,0.4835872,0.15311079,0.7222573,0.9856703,0.51669306,0.41806594,0.48488376,0.32702982
0.23622309,0.36676338,0.6606166,0.37626114,0.36201435,0.98429835,0.5092267,0.6129297,0.97136515,0.5569421,0.16068232
0.31925896,0.38359588,0.6418031,0.52696216,0.36824226,0.930012,0.8981598,0.5318624,0.7265386,0.7935903,0.4632307
0.2574209,0.4134505,0.66876304,0.5428725,0.43874386,0.49949467,0.9598497,0.50330454,0.623806,0.57299185,0.4880229
0.3857371,0.41548148,0.67659605,0.6625416,0.40267882,0.48265666,0.2977494,0.47083429,0.6660842,0.37188953,0.33386615
0.26659307,0.48764268,0.73374486,0.6902478,0.24159506,0.5167472,0.9565616,0.4937213,0.55795765,0.5375882,0.5459246
0.056423295,0.33468774,0.6550883,0.20869932,0.2453785,0.8845556,0.9335018,0.449993,0.6494331,0.56500065,0.09316217
0.20381065,0.4553782,0.68486273,0.42103857,0.08873776,0.5603374,0.28805676,0.3945309,0.34997857,0.44865903,0.3266326
0.16193229,0.4403277,0.6850677,0.48489603,0.3215567,0.47002736,0.68487597,0.43930542,0.5987425,0.54194975,0.47947899
0.20001553,0.63825846,0.8034335,0.36525482,0.19699283,0.9986757,0.337528,0.68449533,0.8845381,0.29232273,0.33032984
0.2249676,0.39594433,0.69143087,0.39731658,0.3356126,0.7104285,0.9971459,0.5118827,0.43355674,0.5632225,0.19759215
0.5176592,0.49782446,0.7780746,0.85978055,0.69289255,0.49826944,0.99833316,0.7409438,0.5525716,0.37356743,0.8473063
0.16063228,0.3498982,0.7749752,0.43041566,0.0711366,0.8443948,0.992338,0.48684523,0.3606044,0.52849686,0.1965465
0.6315987,0.6351342,0.7672541,0.73262966,0.6509537,0.6078092,0.540578,0.8437773,0.9226605,0.09524069,-0.14153834
0.2807822,0.3852572,0.6581829,0.5556118,0.46789536,0.47022155,0.9700252,0.53169537,0.54831326,0.5263383,0.5314907
0.09807255,0.30467555,0.7195002,0.3160719,0.18302621,0.7994273,0.94191754,0.5175545,0.5783541,0.47718835,0.098901555
0.44857943,0.3634321,0.8263991,0.7304341,0.37511927,0.99967086,0.19730188,0.55957055,0.99389917,0.9237292,0.1423088
0.11259087,0.38330036,0.6914072,0.27802813,0.25853375,0.7586635,0.87547815,0.4716975,0.67471695,0.52967197,0.112993434
0.1309695,0.29291174,0.77898365,0.28778678,0.0930957,0.8733914,0.98798096,0.5418531,0.40472305,0.4807982,0.07766071
0.2676368,0.33509588,0.6342802,0.46304142,0.5204208,0.36926636,0.28500524,0.431491,0.5915967,0.4871456,0.5008502
0.3285883,0.47094518,0.71029973,0.7542095,0.39609325,0.46951634,0.95155865,0.50822806,0.61330235,0.5449366,0.58212423
0.18736964,0.49880442,0.6898885,0.4100282,0.12777483,0.95627743,0.5327941,0.44213215,0.63277256,0.44825095,0.48658612
0.6932255,0.40676013,0.7566917,0.84168804,0.8823132,0.56262547,0.6846013,0.8282619,0.99850076,0.48306063,0.22060828
0.3741833,0.5244825,0.84391433,0.32739654,0.55152774,0.8330505,0.5898964,0.7421765,0.9712682,0.4012015,0.7863513
0.4246394,0.4684219,0.7532864,0.8747405,0.35893345,0.48605612,0.98674434,0.55926424,0.40174156,0.35940593,0.81062686
0.36807504,0.4434414,0.68542707,0.75508386,0.4058199,0.49172628,0.9857297,0.52986044,0.5636092,0.48544824,0.64453936
0.32007495,0.322572,0.7672862,0.6486609,0.1532506,0.6747087,0.9920936,0.48963833,0.418405,0.46400064,0.38678706
0.27087405,0.34611154,0.6304867,0.5463723,0.5912932,0.31924483,0.37693337,0.44833776,0.6506448,0.50515044,0.5530528
0.33092147,0.32018748,0.8453127,0.66509986,0.055004686,0.83831054,0.9926211,0.47237447,0.38632703,0.4502897,0.39563563
0.090187624,0.40482417,0.68928504,0.13199072,0.17066999,0.9428287,0.98566103,0.4742527,0.44930094,0.6422525,0.094132885
0.2665463,0.5208236,0.68845534,0.6413857,0.53017247,0.37782896,0.26507095,0.4560747,0.5564506,0.37322542,0.5784832
0.33470225,0.34743667,0.79628646,0.6846266,0.09682347,0.69652474,0.9911184,0.4729892,0.43316606,0.46149966,0.42277512
0.32072613,0.23308854,0.7554512,0.37797925,0.21247827,0.7622031,0.27382386,0.5502844,0.8890395,0.48621503,0.26293722
0.20460247,0.27557823,0.6689631,0.21744066,0.15146782,0.63959426,0.19890617,0.61486685,0.6596364,0.32672164,0.040626958
0.2289239,0.30386344,0.75702745,0.48263788,0.13257171,0.7605448,0.97727454,0.5016395,0.3968482,0.43345773,0.28933787
0.43343514,0.48252773,0.7036364,0.72416484,0.47116795,0.5023899,0.3324991,0.53267014,0.77968174,0.35709834,0.25243932
0.23897913,0.33478507,0.73934066,0.534811,0.17233281,0.6976943,0.98864996,0.50595367,0.48052412,0.5160409,0.27807197
0.25811297,0.40672672,0.650285,0.5400938,0.47135505,0.3393964,0.35007626,0.4199662,0.5815624,0.4683408,0.49488238
0.15491396,0.32194802,0.66077834,0.271002,0.22983593,0.5871451,0.61860126,0.4531662,0.5766982,0.68358696,0.30567193
0.5735487,0.42938042,0.9088916,0.7242359,0.4787694,0.9998461,0.72239614,0.58861196,0.9986505,0.27415818,-0.002040838
0.2943983,0.6509305,0.78731346,0.22961533,0.4544016,0.94555825,0.7571379,0.9549786,0.78394186,0.21887845,0.24511798
0.112925634,0.4013238,0.7130614,0.18810685,0.15354894,0.90102154,0.99328214,0.4267905,0.3662824,0.6472929,0.048462566
0.20917068,0.3932273,0.654655,0.3344986,0.12681128,0.5345609,0.18808217,0.39855573,0.4688543,0.46259922,0.22827314
0.23486084,0.454134,0.63171625,0.49071348,0.34043607,0.37700367,0.42326617,0.3707178,0.5623908,0.50315475,0.44803643
0.66736054,0.7483761,0.9847648,0.94355226,0.1688097,0.99999285,-0.108815536,0.3871358,0.9988319,0.8806468,0.44083452
0.375951,0.35058722,0.75354344,0.6804849,0.19479737,0.601115,0.99296904,0.51512814,0.43861267,0.44612327,0.4487426
0.5429973,0.46273503,0.79350567,0.9539615,0.5641976,0.5608082,0.97513586,0.62686336,0.5786791,0.4284956,0.93136495
0.26858383,0.43161097,0.7490619,0.5753213,0.2628167,0.496832,0.9355836,0.4544564,0.6084957,0.5503993,0.37527645
0.2858945,0.3130838,0.7216513,0.51702666,0.29546136,0.64744806,0.9949059,0.5586238,0.42856234,0.49006513,0.29623526
0.3409961,0.40532026,0.6978148,0.7210292,0.27050745,0.47881395,0.99137056,0.48476622,0.55713236,0.4981402,0.5059253
0.4522535,0.42921695,0.72600275,0.9124992,0.9089371,0.5104996,0.2648874,0.7509197,0.9611278,0.49065784,0.6732334
0.4944004,0.47364768,0.7444588,0.9233943,0.59838706,0.44768775,0.9913981,0.6225498,0.6190652,0.37373257,0.86845654
0.14892915,0.35812923,0.73049635,0.3454895,0.16808572,0.64821374,0.86264515,0.48599544,0.58840376,0.5386971,0.2120531
0.0057641673,0.76039183,0.64702785,-0.09691641,0.31034514,0.99903125,0.8823494,0.53890955,0.6695827,0.8325504,0.101537205
0.29145265,0.33093256,0.755936,0.2033655,0.31007096,0.8775678,0.45738792,0.8065287,0.78811413,0.0769562,0.07639751
0.26588207,0.32284406,0.7536122,0.5688348,0.1522064,0.76404333,0.99244297,0.5022264,0.41967812,0.5344987,0.28507614
0.5761105,0.5764189,0.7571013,0.6366746,0.5292796,0.6030402,0.5487962,0.79315233,0.9207559,0.10831737,-0.019764673
0.62696236,0.47395453,0.9134233,0.809953,0.26327795,0.99959195,0.29923326,0.37222213,0.9970514,0.61416465,0.12854697
0.8189149,0.67634857,0.99675775,0.958034,0.58707476,0.99999976,0.75212765,0.14085224,0.99999493,0.78763497,-0.13383305
0.13298215,0.376037,0.67305106,0.22523068,0.14954554,0.6382786,0.23816413,0.5776024,0.6505742,0.3331902,0.05773088
0.53739154,0.5235038,0.7327324,0.61842877,0.6618149,0.57723534,0.49426746,0.6602105,0.81893307,0.28424853,-0.01577554
0.15250051,0.2554167,0.7462828,0.32847348,0.15767895,0.8561888,0.9830244,0.5364801,0.41737938,0.47082177,0.16812956
0.41846102,0.3956387,0.7122167,0.87852055,0.861048,0.47291744,0.24922106,0.67413723,0.89367694,0.54645056,0.7590019
0.116484806,0.33693424,0.64396405,0.116476625,0.32192534,0.982305,0.43641308,0.7157551,0.89293724,0.18643013,0.07432847
0.038531754,0.4162543,0.55900466,0.14163706,0.15120049,0.9451555,0.7150872,0.53256106,0.5325793,0.52966046,0.18065631
0.10270372,0.3458733,0.6985916,0.27851674,0.19614111,0.70765007,0.7714068,0.4817363,0.6330117,0.5699261,0.101435035
0.5068181,0.720774,0.8404113,0.68065953,0.43775687,0.9737903,0.5835706,0.63294834,0.99955744,0.33631206,0.8158608
0.23494834,0.36021063,0.67235625,0.33757532,0.381407,0.64085066,0.9785765,0.55571616,0.6042367,0.6061716,0.23039375
0.14254065,0.30850086,0.7829189,0.3527425,0.08443338,0.8820387,0.9886771,0.52347624,0.37327713,0.5035105,0.13424622
0.7345185,0.736223,0.9816601,0.82436776,0.7293507,0.9999871,0.96762395,0.9102084,0.99998033,-0.013688462,0.024291646
0.43022057,0.49495757,0.6738801,0.5141244,0.57785785,0.61244476,0.42279157,0.67170084,0.72413677,0.20770194,0.14162295
0.5139641,0.42210123,0.7745279,0.70395374,0.22928941,0.9941793,0.11718175,0.43009388,0.9693664,0.532293,0.40759587
0.42194834,0.4619819,0.70695174,0.83309776,0.5115386,0.46948925,0.9935462,0.6020824,0.58699065,0.47945538,0.6976652
0.6228319,0.4688518,0.7386904,0.7583389,0.82414776,0.4287575,0.43952128,0.76723015,0.959691,0.3277363,0.013517771
0.6075653,0.645165,0.79068947,0.71320844,0.73104537,0.6579658,0.57823443,0.8813991,0.9612445,0.06813149,-0.04975556
0.39166448,0.4108243,0.6985588,0.4892399,0.5838493,0.56502104,0.4104572,0.61510086,0.8260294,0.27470365,0.12299886
0.17365174,0.3995832,0.737426,0.34203,0.1624872,0.6054443,0.67473304,0.43238777,0.56272197,0.5005853,0.2631052
0.3123338,0.31161827,0.7152693,0.46891737,0.7382082,0.5166947,0.5682586,0.81591254,0.968532,0.5002808,0.7329012
0.14254345,0.5286077,0.5647527,0.045859646,0.26245368,0.9786748,0.8304812,0.44419292,0.50083035,0.5715479,0.27056175
0.17311247,0.38491732,0.74696684,0.37288785,0.118261546,0.81147075,0.99631876,0.45710588,0.34817174,0.5465113,0.1407639
0.23540752,0.3037921,0.80809957,0.19959256,0.32314238,0.93278843,0.62837887,0.8548806,0.78267133,0.07608923,-0.04792544
0.16261426,0.34518915,0.7229138,0.3420454,0.17472224,0.6131256,0.764635,0.47405675,0.6105752,0.53734446,0.20401579
0.41261238,0.71107197,0.964767,0.8045935,0.0016236515,0.99915946,0.261319,0.56966734,0.9673888,0.4243886,0.610894
0.27901414,0.38493854,0.79223055,0.7246533,0.2912278,0.60045695,0.92734975,0.531261,0.425309,0.48023975,0.6801522
0.1788588,0.6559392,0.96846616,0.39212218,0.4299948,0.9727257,0.6065033,0.87929845,0.9578285,0.4747194,0.91197926
0.16838454,0.36861938,0.72938704,0.34156215,0.20560363,0.6100541,0.7887093,0.46515578,0.58618474,0.5441842,0.24277617
